Name,Block Group,Census Tract,County,State,GEOID10,Ward,Total:,Male:,Under 5 years,5 to 9 years,10 to 14 years,15 to 17 years,18 and 19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 and 61 years,62 to 64 years,65 and 66 years,67 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,Female:,Under 5 years,5 to 9 years,10 to 14 years,15 to 17 years,18 and 19 years,20 years,21 years,22 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 and 61 years,62 to 64 years,65 and 66 years,67 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
"Block Group 1, Census Tract 14.02, Boone County, Missouri",1,14.02,19,29,290190014021,2,1527,625,68,0,38,0,37,99,0,0,0,57,108,20,0,11,73,0,0,0,18,21,53,0,22,902,192,71,24,0,19,0,0,0,100,104,50,0,180,14,21,0,0,22,56,0,17,15,17
"Block Group 2, Census Tract 14.02, Boone County, Missouri",2,14.02,19,29,290190014022,2,1203,494,23,0,27,49,15,0,0,0,26,101,82,0,72,0,19,0,19,0,19,23,0,19,0,709,0,95,83,80,0,0,0,0,25,95,25,111,64,21,0,18,18,0,0,21,0,53,0
"Block Group 3, Census Tract 14.02, Boone County, Missouri",3,14.02,19,29,290190014023,2,1316,599,54,43,26,47,15,0,0,0,22,0,0,26,24,24,219,21,0,0,0,19,0,9,50,717,25,19,0,0,0,0,0,0,25,27,102,24,47,23,0,162,42,0,0,20,66,10,125
"Block Group 4, Census Tract 14.02, Boone County, Missouri",4,14.02,19,29,290190014024,2,1212,619,78,19,50,0,0,0,0,54,14,78,28,75,0,73,47,19,41,19,24,0,0,0,0,593,0,23,27,23,0,0,0,59,28,27,80,60,94,49,26,0,36,22,0,0,22,17,0
"Block Group 1, Census Tract 15.03, Boone County, Missouri",1,15.03,19,29,290190015031,3,806,395,36,0,19,0,0,0,0,12,36,40,11,37,54,89,38,9,0,0,14,0,0,0,0,411,32,23,11,9,0,0,0,45,11,21,0,53,75,22,44,0,0,10,0,26,15,14,0
"Block Group 2, Census Tract 15.03, Boone County, Missouri",2,15.03,19,29,290190015032,3,1039,604,11,13,93,0,0,14,10,9,10,46,109,35,42,51,39,63,7,0,6,38,8,0,0,435,15,61,14,67,7,0,0,0,9,47,26,38,13,20,70,0,0,24,0,10,14,0,0
"Block Group 3, Census Tract 15.03, Boone County, Missouri",3,15.03,19,29,290190015033,2,1555,807,108,47,123,15,21,15,4,62,14,62,92,25,26,23,46,32,0,3,25,0,38,13,13,748,41,95,27,9,18,0,0,63,75,90,83,7,30,42,52,0,47,8,38,0,11,12,0
"Block Group 1, Census Tract 15.05, Boone County, Missouri",1,15.05,19,29,290190015051,3,1811,1050,164,125,96,91,0,0,0,63,0,151,26,32,136,53,0,0,0,0,16,48,34,15,0,761,0,60,50,1,50,0,0,0,92,132,30,18,86,52,5,6,32,0,65,50,18,14,0
"Block Group 2, Census Tract 15.05, Boone County, Missouri",2,15.05,19,29,290190015052,3,1121,279,15,0,17,13,0,0,0,0,0,97,9,15,0,11,12,0,0,0,0,75,0,0,15,842,24,30,22,9,19,17,86,45,25,16,92,34,43,51,30,0,84,16,76,95,14,0,14
"Block Group 1, Census Tract 15.06, Boone County, Missouri",1,15.06,19,29,290190015061,3,1855,834,83,23,14,24,0,0,70,57,190,58,71,31,84,0,0,27,0,15,51,19,17,0,0,1021,105,0,0,17,12,25,0,121,145,110,19,43,0,85,41,12,21,53,41,0,42,17,112
"Block Group 2, Census Tract 15.06, Boone County, Missouri",2,15.06,19,29,290190015062,3,2381,1434,130,342,137,90,1,0,0,76,69,107,38,20,143,7,62,121,0,7,7,25,23,7,22,947,69,32,18,0,0,31,0,29,232,71,66,63,74,0,113,21,14,0,33,23,36,18,4
"Block Group 1, Census Tract 15.07, Boone County, Missouri",1,15.07,19,29,290190015071,2,768,442,80,44,0,0,37,44,0,31,15,138,0,17,0,24,12,0,0,0,0,0,0,0,0,326,33,0,0,4,7,0,0,95,50,59,0,0,16,43,19,0,0,0,0,0,0,0,0
"Block Group 2, Census Tract 15.07, Boone County, Missouri",2,15.07,19,29,290190015072,2,888,409,22,10,18,27,7,0,0,20,34,80,19,15,20,46,12,0,11,13,37,0,18,0,0,479,8,8,24,7,7,29,0,36,0,47,9,63,18,27,55,27,43,12,34,25,0,0,0
